feature,definition,equation,family,prior_call,param1_name,param1_value,param2_name,param2_value,n_valid,n_total,ks_pvalue,datasets,window_size,stride,status
pnn50,Proportion of successive differences > 50 ms,sum(|diff(IBI)| > 50) / N,Beta,"Beta(0.427202, 10.3405)",α,0.4272023856214657,β,10.340538146858982,56472,56472,1.5206319901174927e-153,nsrdb+nsr2db,360,120,ok
rRR,Median relative RR interval distance,median(euclidean_dist(relRR; mean(relRR)))*100,Gamma,"Gamma(4.62985, 0.784604)",α,4.629846996254176,θ,0.7846039687328535,56472,56472,2.863936083716118e-215,nsrdb+nsr2db,360,120,ok
range,Range of inter-beat intervals,max(IBI) - min(IBI),Gamma,"Gamma(3.62002, 89.3544)",α,3.6200190842704947,θ,89.35440112675104,56472,56472,8.339298420443414e-33,nsrdb+nsr2db,360,120,ok
renyi0,Renyi entropy of order 0,H_0(IBI)  (Renyi entropy order 0),Normal,,,NaN,,NaN,0,56472,NaN,nsrdb+nsr2db,360,120,not in CSV
renyi1,Renyi entropy of order 1,H_1(IBI)  (Renyi entropy order 1),Normal,,,NaN,,NaN,0,56472,NaN,nsrdb+nsr2db,360,120,not in CSV
renyi2,Renyi entropy of order 2,H_2(IBI)  (Renyi entropy order 2),Normal,,,NaN,,NaN,0,56472,NaN,nsrdb+nsr2db,360,120,not in CSV
rmssd,Root mean square of successive differences,sqrt(mean(diff(IBI).^2)),Gamma,"Gamma(2.70004, 12.1746)",α,2.7000437679228826,θ,12.174602121571073,56472,56472,7.484024857764401e-66,nsrdb+nsr2db,360,120,ok
sampen,Sample entropy,log(A / B)  (template matches),Normal,,,NaN,,NaN,0,56472,NaN,nsrdb+nsr2db,360,120,not in CSV
sd1,Poincare plot short-term variability,std((IBI[1:end-1] - IBI[2:end]) / sqrt(2)),Gamma,"Gamma(2.69983, 8.62112)",α,2.699834418875403,θ,8.621116595356314,56472,56472,7.667234263142532e-66,nsrdb+nsr2db,360,120,ok
sd1_sd2_area,Poincare plot ellipse area,pi * SD1 * SD2,LogNormal,"LogNormal(8.20271, 0.977151)",μ,8.202710159475037,σ,0.9771511246385276,56472,56472,1.0772831288021622e-28,nsrdb+nsr2db,360,120,ok
sd2,Poincare plot long-term variability,std((IBI[1:end-1] + IBI[2:end]) / sqrt(2)),Gamma,"Gamma(3.86522, 17.9922)",α,3.86522344901285,θ,17.99218224072282,56472,56472,1.7294080288082125e-45,nsrdb+nsr2db,360,120,ok
sd2_sd1,Ratio of SD2 to SD1 (cardiac sympathetic index),SD2 / SD1,LogNormal,"LogNormal(1.15613, 0.525657)",μ,1.156132817377948,σ,0.5256572518341422,56472,56472,3.812824755010899e-5,nsrdb+nsr2db,360,120,ok
sdann,Standard deviation of 5-min average NN intervals,std(5-min means of IBI),Gamma,"Gamma(0.869538, 27.9356)",α,0.869537962901679,θ,27.935626760592097,18609,56472,2.1995967525814255e-38,nsrdb+nsr2db,360,120,ok
sdnn,Standard deviation of NN intervals,std(IBI),Gamma,"Gamma(4.01919, 13.1164)",α,4.019194458571141,θ,13.116438288899063,56472,56472,4.012310559040106e-55,nsrdb+nsr2db,360,120,ok
sdsd,Standard deviation of successive differences,std(diff(IBI)),Gamma,"Gamma(2.69983, 12.1921)",α,2.6998344188758114,θ,12.192100011950728,56472,56472,7.667234263060535e-66,nsrdb+nsr2db,360,120,ok
std_hr,Standard deviation of heart rate,60000 / std(IBI),Gamma,"Gamma(3.92275, 377.184)",α,3.9227530506736406,θ,377.1835188152172,56472,56472,6.091173630179463e-22,nsrdb+nsr2db,360,120,ok
tinn,Triangular interpolation of NN interval histogram,M - N  (triangle base width),Gamma,"Gamma(5.39762, 30.5632)",α,5.397619716848059,θ,30.56315118774492,56472,56472,1.2175808299422648e-27,nsrdb+nsr2db,360,120,ok
tp,Total power (0.003-0.4 Hz),integral(PSD; 0.003; 0.4) Hz,Gamma,"Gamma(0.996483, 1524.91)",α,0.9964825781455493,θ,1524.9065511896758,56472,56472,9.037859226951284e-163,nsrdb+nsr2db,360,120,ok
triangular_index,HRV triangular index,N / max(histogram_weights),Gamma,"Gamma(6.10767, 1.68813)",α,6.107665823109426,θ,1.6881285092931946,56472,56472,1.7217920544271675e-27,nsrdb+nsr2db,360,120,ok
ulf,Ultra-low frequency power (0-0.003 Hz),integral(PSD; 0; 0.003) Hz,Gamma,,,NaN,,NaN,0,56472,NaN,nsrdb+nsr2db,360,120,not in CSV
vlf,Very low frequency power (0.003-0.04 Hz),integral(PSD; 0.003; 0.04) Hz,Gamma,"Gamma(1.23977, 891.757)",α,1.2397654568884413,θ,891.7570821780226,54083,56472,0.0,nsrdb+nsr2db,360,120,ok
