family,variable,domain,citation,doi,year,population,sample_size_raw,sample_size_n,direction,direction_sign,effect_size_raw,effect_value,effect_type,p_value_raw,p_value_num,p_op,p_source,parsed_effect,parsed_p
vagal_rmssd,RMSSD,clinical,"Koch C, Wilhelm M, Salzmann S, Rief W, Euteneuer F (2019). Psychological Medicine 49(12):1948-1957. doi:10.1017/S0033291719001351",10.1017/S0033291719001351,2019,Unmedicated adults with major depressive disorder vs. healthy controls (21 studies),2250 patients vs. 1982 controls (N=4232),2250,decreased (lower) in depression,-1,Hedges' g = -0.462 (95% CI -0.612 to -0.312),-0.462,g,p < 0.001,0.001,<,pfield,True,True
vagal_rmssd,RMSSD,clinical,"Wu Y, Miao D, Cao Y, Chi X, Xiao Y (2023). Frontiers in Public Health 11:1243213.",,2023,"Adult depressed patients vs. healthy controls, 43 studies (22 Chinese, 21 English), 2000-2021 publication window, multiple countries",2359 patients vs. 3547 controls,2359,decreased (lower) in depression,-1,d = -0.51 (95% CI -0.69 to -0.33),-0.51,d,p < 0.001,0.001,<,pfield,True,True
vagal_rmssd,pNN50,clinical,"Wu Y, Miao D, Cao Y, Chi X, Xiao Y (2023). Frontiers in Public Health 11:1243213.",,2023,"Adult depressed patients vs. healthy controls, 43 studies",2359 patients vs. 3547 controls,2359,decreased (lower) in depression,-1,d = -0.43 (95% CI -0.59 to -0.27),-0.43,d,p < 0.001,0.001,<,pfield,True,True
vagal_rmssd,RMSSD,sports,Bellenger CR et al. (2016). Sports Medicine 46(10):1461-1486. doi:10.1007/s40279-016-0484-2,10.1007/s40279-016-0484-2,2016,"Endurance-trained athletes, pooled across included studies (systematic review + meta-analysis)",not centrally reported in extracted summary (multi-study pooled ES),,increased with improved performance,1,ES = 0.58,0.58,SMD,,,,,True,False
vagal_rmssd,RMSSD,sports,Bellenger CR et al. (2016). Sports Medicine 46(10):1461-1486. doi:10.1007/s40279-016-0484-2,10.1007/s40279-016-0484-2,2016,Endurance-trained athletes undergoing overreaching/performance decrement,not centrally reported in extracted summary,,increased (small) with performance decrement/overreaching,1,ES = 0.26,0.26,SMD,,,,,True,False
vagal_rmssd,RMSSD,sports,"Lapo H, Chacon-Mikahil MPT, Veiga Sardeli A (2022). Physiology & Behavior 250:113780. doi:10.1016/j.physbeh.2022.113780",10.1016/j.physbeh.2022.113780,2022,"Athletes, 14 studies / 20 subgroups comparing RMSSD before/after an overload period","14 studies, 20 subgroups",14,decreased at pre-competition overload specifically,-1,SMD = -0.50 (95% CI -0.83 to -0.18),-0.5,SMD,p = 0.002,0.002,=,pfield,True,True
vagal_rmssd,RMSSD (vagal-related HRV indices),sports,HRV-Guided Training meta-analysis (2021). Int J Environ Res Public Health 18(19):10299. doi:10.3390/ijerph181910299,10.3390/ijerph181910299,2021,Endurance athletes comparing HRV-guided vs. predefined training programs,multi-study pooled (systematic review + meta-analysis),,increased (favoring HRV-guided training for maintaining/improving vagal HRV),1,SMD = 0.50 (95% CI 0.09 to 0.91),0.5,SMD,significant (CI excludes 0),,,,True,False
vagal_rmssd,RMSSD,meditation,"Rådmark L, Sidorchuk A, Osika W, Niemi M (2019). J Clin Med 8(10):1638. doi:10.3390/jcm8101638",10.3390/jcm8101638,2019,"Mindfulness-based intervention trials (RCTs/non-RCTs), pooled (3 original studies for RMSSD)",3 studies pooled,,no effect / null,0,Hedges' g = 0.02 (95% CI -0.44 to 0.49),0.02,g,p = 0.92,0.92,=,pfield,True,True
vagal_rmssd,"RMSSD, pNN50",meditation,Effects of Rajyoga mindfulness meditation training on heart rate variability in panic disorder: A randomized controlled trial. Indian Journal of Psychiatry (2025). doi:10.4103/indianjpsychiatry.indianjpsychiatry_323_24,10.4103/indianjpsychiatry.indianjpsychiatry_323_24,2025,"Adults with panic disorder, RCT (8-week Rajyoga meditation vs. waitlist/standard treatment)","n=110 (55 intervention, 55 control)",110,increased vs. control,1,not reported numerically in extracted summary (reported as significant group difference),,,p < 0.05,0.05,<,pfield,False,True
vagal_rmssd,RMSSD,meditation,"An H, Kulkarni R, Nagarathna R, Nagendra HR (2010). Measures of heart rate variability in women following a meditation technique. International Journal of Yoga.",,2010,"28 healthy female volunteers, mean age 25±3.4 years, pre/post cyclic meditation",n=28,28,increased after cyclic meditation,1,not reported numerically in extracted summary,,,p = 0.037,0.037,=,pfield,False,True
vagal_rmssd,pNN50,meditation,"An H, Kulkarni R, Nagarathna R, Nagendra HR (2010). International Journal of Yoga.",,2010,"28 healthy female volunteers, pre/post cyclic meditation",n=28,28,increased after cyclic meditation,1,not reported numerically in extracted summary,,,p = 0.007,0.007,=,pfield,False,True
vagal_rmssd,RMSSD,meditation,Daily Stress and Heart Rate Variability Among Mindfulness Meditation Practitioners: An mHealth Observational Study. Journal of Medical Internet Research 2026;28:e78244.,10.2196/78244,2026,"90 participants: 19 meditation practitioners, 32 recreational runners (active control), 39 sedentary/non-practicing controls; 3-week mHealth observational study, Garmin-derived HRV",n=90 (19 meditators),90,"increased acutely during meditation practice, sustained ~30 min post-practice",1,+4.68 ms (95% CI 2.96 to 6.38),,,CI excludes 0 (implied significant),,,,False,False
vagal_rmssd,HRV (RMSSD/HF composite reported in study; exact per-measure stats not confirmed in available excerpts),meditation,"Krygier JR, Heathers JAJ, Shahrestani S, Abbott MJ, Gross JJ, Kemp AH (2013). Mindfulness meditation, well-being, and heart rate variability: a preliminary investigation into the impact of intensive Vipassana meditation. International Journal of Psychophysiology 89(3):305-313. doi:10.1016/j.ijpsycho.2013.06.017",10.1016/j.ijpsycho.2013.06.017,2013,"Intensive 10-day Vipassana meditation retreat participants, pre/post (measured ~4 days after program end)",not specified in extracted summary,,"no significant main effect of time found on HRV in this particular study, despite subjective well-being improving",0,not confirmed,,,not confirmed,,,,False,False
other_entropy,"mse (Area5, Area6-20, Slope5 multiscale sample entropy)",clinical,"Ho Y-L, Lin C, Lin Y-H, Lo M-T (2011). The Prognostic Value of Non-Linear Analysis of Heart Rate Variability in Patients with Congestive Heart Failure—A Pilot Study of Multiscale Entropy. PLOS ONE, 6(4):e18699.",10.1371/journal.pone.0018699,2011,"Systolic heart failure patients (LVEF<45%), n=40 (30M/10F, mean age 56±16); mortality/transplant n=6 vs survivors n=34",n=40 (6 events),40,"lower entropy (Area5, Area6-20) associated with mortality/transplant",-1,AUC=0.858±0.075 for Area6-20; cutoff Area6-20≤21.2,0.858,AUC,"p=0.027 (Area5), p=0.021 (Area6-20), p=0.0014 (cutoff)",0.027,range,pfield,True,True
other_entropy,"renyi0/renyi1/renyi2 (Renyi entropy, scaling exponent alpha -5 to +5)",clinical,"Cornforth DJ, Tarvainen MP, Jelinek HF (2014). How to Calculate Renyi Entropy from Heart Rate Variability, and Why it Matters for Detecting Cardiac Autonomic Neuropathy. Frontiers in Bioengineering and Biotechnology, 2:34.",10.3389/fbioe.2014.00034,2014,"Diabetes clinic patients stratified as Normal (N), Early CAN (E), Definite CAN (D)","N=71, E=67, D=11",71,lower/reduced entropy variability in definite CAN vs normal,-1,Pearson r^2 with SD 0.31-0.43,,,"Definite vs Normal p=0.00278 (λ=8), Normal vs Early p=0.000115 (λ=16)",0.00278,=,pfield,False,True
other_entropy,renyi (RdisEn distribution entropy variant),clinical,"Shi M, Zhan C, He H, et al. (2019). Renyi Distribution Entropy Analysis of Short-Term Heart Rate Variability Signals and Its Application in Coronary Artery Disease Detection. Frontiers in Physiology, 10:809.",10.3389/fphys.2019.00809,2019,"CAD patients vs normal (20 elderly 68-85y, 20 young 21-34y); 80 HRV beat-segments per class","7 CAD patients / 40 normal subjects, 80 vs 80 segments",40,lower/altered RdisEn distinguishes CAD from normal,-1,"Classification accuracy 97.5%, sensitivity 100%, specificity 95%",97.5,accuracy_pct,p=3.15E-5,3.15e-05,=,pfield,True,True
other_entropy,svd_en,clinical,"Li SY, Yang M, Li CC, et al. (2008). Analysis of heart rate variability based on singular value decomposition entropy. Journal of Shanghai University (English Edition), 12, 433-437.",10.1007/s11741-008-0511-3,2008,Congestive heart failure patients vs healthy subjects,not specified in abstract,,"lower SvdEn in CHF, fully separable from healthy; SvdEn also decreases with age",-1,SvdEn=0.056±0.006 in CHF,,,p<0.01,0.01,<,pfield,False,True
other_entropy,"mse, fuzzyen (multiscale sample & fuzzy entropy)",clinical,"Frassineti L, Lanatà A, Olmi B, Manfredi C (2021). Multiscale Entropy Analysis of Heart Rate Variability in Neonatal Patients with and without Seizures. Bioengineering (Basel), 8(9):122.",10.3390/bioengineering8090122,2021,"Neonates, Helsinki University Hospital public EEG/ECG dataset",33 with seizures vs 19 seizure-free (n=52),33,lower entropy in neonates with seizures vs seizure-free,-1,most consistent for multiscale fuzzy entropy across scales 2-6,,,p=0.0054-0.0064 (MSE scales 3-6); p=0.0011-0.0316 (MFE scales 2-6),0.0054,range,pfield,False,True
other_entropy,"mse (mean sample entropy at VLF2 scale, 90-300s)",clinical,"Watanabe E, Kiyono K, Hayano J, et al. (2015). Multiscale Entropy of the Heart Rate Variability for the Prediction of an Ischemic Stroke in Patients with Permanent Atrial Fibrillation. PLOS ONE, 10(9):e0137144.",10.1371/journal.pone.0137144,2015,"Permanent atrial fibrillation patients, mean age 69±11, 71% male, 3.8y follow-up",n=173 (22 strokes / 151 no stroke),173,HIGHER entropy predicted stroke (opposite of typical low-entropy-in-disease pattern),1,HR=1.80 per 1-SD increment (95% CI 1.17-2.07); C-statistic 0.66 (95% CI 0.53-0.79),1.8,HR,P<0.01,0.01,<,pfield,True,True
other_entropy,"fuzzyen, shan_en (FuzzEn, ShanEn, plus ApEn/SampEn)",clinical,"Byun S, Kim AY, Jang EH, Kim S, Choi KW, Yu HY, Jeon HJ (2019). Entropy analysis of heart rate variability and its application to recognize major depressive disorder: A pilot study. Technology and Health Care, 27(Suppl 1):407-424.",10.3233/THC-199037,2019,"MDD patients (DSM-IV) vs matched healthy controls, 24 females each",33 MDD / 33 controls,33,lower entropy in MDD group (all 4 indices) but NOT statistically significant at group level,-1,"SVM classification accuracy 70% (sensitivity 64%, specificity 76%)",70.0,accuracy_pct,p>0.05 for raw group entropy difference; p<0.01 for task-effect on entropy,0.05,>,pfield,True,True
other_entropy,spec_en (spectral entropy of RR intervals),clinical,"Luongo G, Rees F, Nairn D, et al. (2022). Machine Learning Using a Single-Lead ECG to Identify Patients With Atrial Fibrillation-Induced Heart Failure. Frontiers in Cardiovascular Medicine, 9:812719.",10.3389/fcvm.2022.812719,2022,AF-induced heart failure patients vs controls,"26 AF-HF / 26 control (test subset 6 vs 6, ~1000 5-min segments)",26,"altered spectral entropy (with mean RR, RMSSD) stratifies AF-HF from controls",0,"Accuracy 73.5%, specificity 91.4%, sensitivity 64.7%, PPV 87.0%; patient-level 83.33% correct",73.5,accuracy_pct,"feature distributions differ, Wilcoxon p<0.05",0.05,<,pfield,True,True
other_entropy,"other (approximate/sample entropy on HR and SpO2, precursor family measures)",sports,"Cabanas AM, Fuentes-Guajardo M, Sáez N, et al. (2024). Exploring the Hidden Complexity: Entropy Analysis in Pulse Oximetry of Female Athletes. Biosensors, 14(1):52.",10.3390/bios14010052,2024,"Female competitive athletes, ages 13-55, stratified by fitness level (excellent/good/medium)",n=27,27,"higher fitness associated with modestly greater entropy for HR-derived ApEn/SampEn, but SpO2-derived entropy inconsistent",1,"ApEn(HR): excellent 0.60±0.09 vs medium 0.57±0.13 (small, overlapping)",,,"not reported / large SDs noted, cautious interpretation urged",,,,False,False
other_entropy,"shan_en (Shannon entropy on HR, speed, cadence, VO2, VCO2)",sports,"Palacin F, Poinsard L, Billat V (2024). Multidimensional Analysis of Physiological Entropy during Self-Paced Marathon Running. Sports (Basel), 12(9):252.",10.3390/sports12090252,2024,"Recreational male marathon runners, mean age 40.1±10.6y",n=9,,entropy of HR/speed/cadence increased approaching and after the 'wall' (~30km),1,"PCA F1=47.13% variance, F2=17.19%; 2-4 runner response clusters",,,threshold p<0.05 used but no per-entropy p-value reported for the trend,0.05,<,pfield,False,True
other_entropy,mse (multiscale sample & dispersion entropy),sports,"Fazan FS, Brognara F, Fazan Junior R, Murta Junior LO, Silva LEV (2018). Changes in the Complexity of Heart Rate Variability with Exercise Training Measured by Multiscale Entropy-Based Measurements. Entropy (Basel), 20(1):47.",10.3390/e20010047,2018,"Male Wistar rats (animal model), trained vs sedentary",n=13 trained / n=12 sedentary (n=25 total),13,"training modestly increased complexity, but MSE/MDE main indices showed no significant group difference; only a derived q-parameter (qmax) differed",1,qmax difference at scales 6-20,,,p<0.05 (qmax only); MSE/MDE not significant,0.05,<,pfield,False,True
other_entropy,shan_en (entropy of R-wave/RR fluctuations),meditation,Ghatak SK (2021). Effect of Meditation on Heart Rate Variability. arXiv:2107.08644 [physics.med-ph].,10.48550/arXiv.2107.08644,2021,Disciples of Ramakrishna Mission (meditators),not stated in abstract,,entropy reduced after meditation,-1,not reported,,,not reported,,,,False,False
other_entropy,"other (sample entropy, precursor to fuzzyen; m=2, r=0.2, 300 RR intervals)",meditation,"An H, Kulkarni R, Nagarathna R, Nagendra HR (2010). Measures of heart rate variability in women following a meditation technique. International Journal of Yoga, 3(1):6-9.",10.4103/0973-6131.66772,2010,"Healthy women, mean age 25±3.4y, cyclic meditation (CM) vs supine rest control",n=28,28,SampEn increased after CM (opposite of the review's dominant direction),1,effect size 0.2 (CM) vs 0.02 (control); post-hoc power 0.3,0.2,ES,"p=0.268 (not significant); pNN30 p=0.003, pNN50 p=0.007, HR p<0.001 (time-domain measures were significant, entropy was not)",0.268,=,pfield,True,True
other_entropy,"other (bispectrum / higher-order spectral complexity, adjacent to but not identical to spec_en)",meditation,"Goshvarpour A, Goshvarpour A (2013). Comparison of higher order spectra in heart rate signals during two techniques of meditation: Chi and Kundalini meditation. Cognitive Neurodynamics, 7(2):119-129.",10.1007/s11571-012-9215-z,2013,"Meditation practitioners, Chi (Qigong) vs Kundalini Yoga",not specified in available abstract,,"bispectrum magnitude decreased significantly during Chi meditation, increased during Kundalini meditation -- technique-dependent, opposite directions within the same paper",0,not reported,,,p<0.05,0.05,<,pfield,False,True
poincare,Poincaré plot shape (comet vs torpedo/complex),clinical,"Woo MA, Stevenson WG, Moser DK, Trelease RB, Harper RM. 'Patterns of beat-to-beat heart rate variability in advanced heart failure.' Am Heart J. 1992;123(3):704-710. PMID 1539521",,1992,"24 healthy controls vs 24 advanced heart failure patients, 24-h Holter",n=48 (24 vs 24),48,down (loss of comet/normal beat-to-beat dispersion pattern in HF; 0/24 HF patients retained comet shape vs 24/24 controls),-1,"categorical pattern shift, not a continuous d/r",,,not reported as single p-value (qualitative classification),,,,False,False
poincare,Poincaré plot shape/geometry,clinical,"Brouwer J, van Veldhuisen DJ, Man in 't Veld AJ, et al. J Am Coll Cardiol. 1996;28(5):1183-1190 (prognostic value of HRV during long-term follow-up in mild-to-moderate heart failure)",,1996,mild-to-moderate chronic heart failure patients,n=95,95,down (abnormal/narrow shape associated with worse prognosis),-1,independent prognostic value reported; exact HR/p not retrieved from secondary source,,,not retrieved,,,,False,False
poincare,sd2_sd1 (SD1/SD2 ratio),clinical,"Laitio TT, Huikuri HV, Kentala ESH, Mäkikallio TH, Jalonen JR, Helenius H, et al. 'Correlation properties and complexity of perioperative RR-interval dynamics in coronary artery bypass surgery patients.' Anesthesiology. 2000;93(1):69-80.",,2000,coronary artery bypass graft (CABG) surgery patients,n≈40,40,down/altered (reduced SD1/SD2 ratio was the most powerful independent predictor of postoperative myocardial ischemia),-1,reported as strongest independent predictor among nonlinear indices; exact OR not retrieved,,,not retrieved from secondary source,,,,False,False
poincare,"sd2, sd2_sd1",clinical,"Milovanović B, et al. 'Associations of Poincaré Plot-Derived Parameters with Heart Rate Variability and Autonomic Reflex Testing in a Real-World Clinical Population.' Diagnostics. 2026;16(7):1016. doi:10.3390/diagnostics16071016",,2026,real-world clinical patients referred for autonomic dysfunction evaluation (68% female),n=269,269,"SD2 strongly positively correlated with SDNN; SD2/SD1 strongly inversely correlated with vagal autonomic index (VAI), i.e. higher ratio = more sympathetic-relative predominance; SD1 lower in patients with abnormal deep-breathing HR response",0,SD2 vs SDNN r=0.946; SD2/SD1 vs VAI ρ=-0.980,0.946,r,p<0.05 after FDR correction (main correlations); SD1 abnormal-breathing comparison p=0.012; orthostatic-hypotension subgroup comparison NS p=0.627,0.05,<,pfield,True,True
poincare,"sd1, sd2_sd1",clinical,"Poincaré plot analysis of heart rate variability in diabetic patients in the UAE (IEEE Xplore conference paper, doi accessible via IEEE 6783280)",,not confirmed (post-2010 conference),"Type 2 diabetes patients vs age/sex-matched controls, UAE",n=41 diabetic vs 45 control (≈86 total),41,"down (SD1 and SD1/SD2 significantly lower in diabetics, indicating early cardiac autonomic neuropathy)",-1,not retrieved (group means/CIs not extracted),,,"reported significant, exact value not retrieved",,,,False,False
poincare,"sd1, sd2",clinical,Heart rate variability analysed by Poincaré plot in patients with metabolic syndrome. J Electrocardiol (ScienceDirect S0022073615003726),,not confirmed precisely (~2016),metabolic syndrome (MetS) patients vs healthy controls,n=33 MetS vs 31 control,33,"down (both SD1 and SD2 significantly lower in MetS, supine position; SD2 also lower during tilt)",-1,"not reported as d/r, only p-values",,,"SD1 p=0.03 (supine); SD2 p=0.002 (supine), p=0.004 (tilt)",0.03,=,pfield,False,True
poincare,"sd1, sd2",clinical,"Correlation among Poincare plot and traditional HRV indices in adults with different risk levels of metabolic syndrome (Southern India cross-sectional study, Lancashire repository record)",,not confirmed,"adults graded by MetS severity: control, pre-MetS, MetS, severe MetS","n=223 (control n=64, pre-MetS n=49, MetS n=56, severe MetS n=54)",223,"down (severe MetS group had significantly lower total HRV, SD1, and SD2 vs control)",-1,not retrieved,,,"reported significant, exact value not retrieved",,,,False,False
poincare,sd2,clinical,"Byun S, Kim AY, Jang EH, Kim S, Choi KW, Yu HY, Jeon HJ. 'Detection of major depressive disorder from linear and nonlinear heart rate variability features during mental task protocol.' Comput Biol Med. 2019 (ScienceDirect S0010482519302586)",,2019,MDD patients vs healthy controls during a mental task protocol,not retrieved (blocked by paywall),,"down/altered (SD2 was the top-ranked Poincaré feature distinguishing MDD from controls across all task phases; nonlinear-feature classifier reached 74.4% accuracy, 73% sensitivity, 75.6% specificity)",-1,classification accuracy 74.4%,74.4,accuracy_pct,not retrieved,,,,True,False
poincare,"sd1, sd2, sd2_sd1 (reported as SD1/SD2)",clinical,"Dimitriev DA, Saperova EV, Dimitriev AD. 'State Anxiety and Nonlinear Dynamics of Heart Rate Variability in Students.' PLoS ONE. 2016;11(1):e0146131.",,2016,healthy university students during exam-induced state anxiety,"n=96 (15 men, 81 women)",96,"down (SD1, SD2, and SD1/SD2 all decreased during high-anxiety exam session vs rest)",-1,correlation of SD1/SD2 with state anxiety score r=-0.20,-0.2,r,SD1 decrease p<0.01; SD2 decrease p<0.05 (high-anxiety subgroup only); SD1/SD2 decrease p<0.01; r=-0.20 correlation p<0.05,0.01,<,pfield,True,True
poincare,"sd1, sd2_sd1",sports,"Tulppo MP, Mäkikallio TH, Takala TE, Seppänen T, Huikuri HV. 'Quantitative beat-to-beat analysis of heart rate dynamics during exercise.' Am J Physiol. 1996;271(1 Pt 2):H244-H252. PMID 8760181",,1996,healthy adults undergoing graded exercise test,not retrieved (foundational methods paper),,"down (SD1 and other vagal-modulation measures decreased progressively with exercise intensity up to ventilatory threshold, after which SD1/SD2 ratio changes reflected sympathetic activation)",-1,not retrieved,,,not retrieved,,,,False,False
poincare,sd1,sports,"Mourot L, Bouhaddi M, Perrey S, Cappelle S, Henriet MT, Wolf JP, Rouillon JD, Regnard J. 'Decrease in heart rate variability with overtraining: assessment by the Poincaré plot analysis.' Clin Physiol Funct Imaging. 2004;24(1):10-18. doi:10.1046/j.1475-0961.2003.00523.x",,2004,"sedentary controls, trained athletes, overtrained athletes","n=8 sedentary, n=8 trained, n=7 overtrained (23 total)",23,"non-monotonic: up in trained vs sedentary; down in overtrained vs trained, but overtrained still above sedentary (supine SD1: sedentary 29.5±18.5 ms, trained 75.2±17.2 ms, overtrained 37.6±27.5 ms)",0,group means/SD reported; no d computed in secondary source,,,p<0.05 across groups (supine SD1),0.05,<,pfield,False,True
poincare,"sd2, sd2_sd1",sports,Poincaré plot indices as measures of sympathetic cardiac regulation: Responses to psychological stress and associations with pre-ejection period. Int J Psychophysiol. 2018. PMID 30107195,,2018,healthy adults under acute psychological (mental) stress protocol,not retrieved (paywalled),,down (Poincaré plot width/SD1 decreases under acute stress reflecting parasympathetic withdrawal); SD2 and SD2/SD1 associations with an independent sympathetic marker (pre-ejection period) were small and not robust to controlling for conventional parasympathetic HRV,-1,associations described as 'not large in magnitude'; eliminated after covariate control,,,not retrieved,,,,False,False
poincare,"sd1, sd2, sd2_sd1 (Poincaré-derived 'Stress Score' and 'Sympathetic-Parasympathetic ratio')",sports,'Modified Stress Score and Sympathetic-Parasympathetic Ratio Using Ultra-Short-Term HRV in Athletes: A Novel Approach to Autonomic Monitoring.' J Funct Morphol Kinesiol. 2025;10(3):310. doi:10.3390/jfmk10030310,,2025,"athletes, ultra-short-term HRV recordings","not retrieved (fetch blocked, 403)",403,not retrieved in detail,0,not retrieved,,,not retrieved,,,,False,False
